Artlfd,PL-AT,Artikelname,AG-ID,Pfad,Online-Artikelname,Produktname,Kurztext,Vorteile,Anwendungsbereiche,Einsatzbereiche,Anwendung,Nutzenargumentation,youtube-Film
4940340,tp.1050107008,"Handschuh PowerGrip, gelb/grün Gr. 8, Latexbeschichtung",4836,Produkte entdecken|Arbeitsschutz|Handschuhe|Mechanische Risiken|PowerGrip,PowerGrip / Größe: 8,PowerGrip,Baumwollliner mit schrumpfgerauter Latex-Beschichtung,,"• Perfekte Griffsicherheit 

• Atmungsaktiv durch den Einsatz von Baumwolle 

• Sehr hohe Reißfestigkeit

• Der eng anliegende Strickbund verhindert das Eindringen von Fremdkörpern","• Garten- und Landschaftsbau

• Gewächshäuser

• Forstarbeiten etc.",,"Perfekte Griffsicherheit 

Atmungsaktiv durch den Einsatz von Baumwolle 

Sehr hohe Reißfestigkeit",
4940342,tp.1050107009,"Handschuh PowerGrip, gelb/grün Gr. 9, Latexbeschichtung",4836,Produkte entdecken|Arbeitsschutz|Handschuhe|Mechanische Risiken|PowerGrip,PowerGrip / Größe: 9,PowerGrip,Baumwollliner mit schrumpfgerauter Latex-Beschichtung,,"• Perfekte Griffsicherheit 

• Atmungsaktiv durch den Einsatz von Baumwolle 

• Sehr hohe Reißfestigkeit

• Der eng anliegende Strickbund verhindert das Eindringen von Fremdkörpern","• Garten- und Landschaftsbau

• Gewächshäuser

• Forstarbeiten etc.",,"Perfekte Griffsicherheit 

Atmungsaktiv durch den Einsatz von Baumwolle 

Sehr hohe Reißfestigkeit",
4940344,tp.1050107010,"Handschuh PowerGrip, gelb/grün Gr. 10, Latexbeschichtung",4836,Produkte entdecken|Arbeitsschutz|Handschuhe|Mechanische Risiken|PowerGrip,PowerGrip / Größe: 10,PowerGrip,Baumwollliner mit schrumpfgerauter Latex-Beschichtung,,"• Perfekte Griffsicherheit 

• Atmungsaktiv durch den Einsatz von Baumwolle 

• Sehr hohe Reißfestigkeit

• Der eng anliegende Strickbund verhindert das Eindringen von Fremdkörpern","• Garten- und Landschaftsbau

• Gewächshäuser

• Forstarbeiten etc.",,"Perfekte Griffsicherheit 

Atmungsaktiv durch den Einsatz von Baumwolle 

Sehr hohe Reißfestigkeit",
4940346,tp.1050110007,"Handschuh UltraGrip, schwarz Gr. 7, Latexbeschichtung",4835,Produkte entdecken|Arbeitsschutz|Handschuhe|Mechanische Risiken|UltraGrip,UltraGrip / Größe: 7,UltraGrip,Nahtloses Feinstrick mit schrumpfgerauter Latex-Beschichtung,,"• Der Handschuh-Allrounder

• Ein gutes Tastempfinden bei sehr hoher Griffigkeit ermöglicht ermüdungsfreies Arbeiten

• Das Feinstrickgewebe passt sich jeder Hand an und garantiert eine exzellente Passform

• Vor allem dort geeignet, wo es auf einen sicheren Griff ankommt","• Umgang mit leicht feuchten Materialien

• Gerüstbau, Bandarbeiten, Logistik, Handwerksbetriebe, Automobilindustrie, Verpackungsindustrie, Montagearbeiten",,"Handschuh-Allrounder

Gutes Tastempfinden, hohe Griffigkeit für ermüdungsfreies Arbeiten

Das Feinstrickgewebe passt sich jeder Hand an und garantiert eine exzellente Passform",
4940348,tp.1050110008,"Handschuh UltraGrip, schwarz Gr. 8, Latexbeschichtung",4835,Produkte entdecken|Arbeitsschutz|Handschuhe|Mechanische Risiken|UltraGrip,UltraGrip / Größe: 8,UltraGrip,Nahtloses Feinstrick mit schrumpfgerauter Latex-Beschichtung,,"• Der Handschuh-Allrounder

• Ein gutes Tastempfinden bei sehr hoher Griffigkeit ermöglicht ermüdungsfreies Arbeiten

• Das Feinstrickgewebe passt sich jeder Hand an und garantiert eine exzellente Passform

• Vor allem dort geeignet, wo es auf einen sicheren Griff ankommt","• Umgang mit leicht feuchten Materialien

• Gerüstbau, Bandarbeiten, Logistik, Handwerksbetriebe, Automobilindustrie, Verpackungsindustrie, Montagearbeiten",,"Handschuh-Allrounder

Gutes Tastempfinden, hohe Griffigkeit für ermüdungsfreies Arbeiten

Das Feinstrickgewebe passt sich jeder Hand an und garantiert eine exzellente Passform",
4940350,tp.1050110009,"Handschuh UltraGrip, schwarz Gr. 9, Latexbeschichtung",4835,Produkte entdecken|Arbeitsschutz|Handschuhe|Mechanische Risiken|UltraGrip,UltraGrip / Größe: 9,UltraGrip,Nahtloses Feinstrick mit schrumpfgerauter Latex-Beschichtung,,"• Der Handschuh-Allrounder

• Ein gutes Tastempfinden bei sehr hoher Griffigkeit ermöglicht ermüdungsfreies Arbeiten

• Das Feinstrickgewebe passt sich jeder Hand an und garantiert eine exzellente Passform

• Vor allem dort geeignet, wo es auf einen sicheren Griff ankommt","• Umgang mit leicht feuchten Materialien

• Gerüstbau, Bandarbeiten, Logistik, Handwerksbetriebe, Automobilindustrie, Verpackungsindustrie, Montagearbeiten",,"Handschuh-Allrounder

Gutes Tastempfinden, hohe Griffigkeit für ermüdungsfreies Arbeiten

Das Feinstrickgewebe passt sich jeder Hand an und garantiert eine exzellente Passform",
4940352,tp.1050110010,"Handschuh UltraGrip, schwarz Gr. 10, Latexbeschichtung",4835,Produkte entdecken|Arbeitsschutz|Handschuhe|Mechanische Risiken|UltraGrip,UltraGrip / Größe: 10,UltraGrip,Nahtloses Feinstrick mit schrumpfgerauter Latex-Beschichtung,,"• Der Handschuh-Allrounder

• Ein gutes Tastempfinden bei sehr hoher Griffigkeit ermöglicht ermüdungsfreies Arbeiten

• Das Feinstrickgewebe passt sich jeder Hand an und garantiert eine exzellente Passform

• Vor allem dort geeignet, wo es auf einen sicheren Griff ankommt","• Umgang mit leicht feuchten Materialien

• Gerüstbau, Bandarbeiten, Logistik, Handwerksbetriebe, Automobilindustrie, Verpackungsindustrie, Montagearbeiten",,"Handschuh-Allrounder

Gutes Tastempfinden, hohe Griffigkeit für ermüdungsfreies Arbeiten

Das Feinstrickgewebe passt sich jeder Hand an und garantiert eine exzellente Passform",
4940354,tp.1050103007,"Handschuh BluePoint, Grobstrick weiß Gr. 7, PVC Noppen blau",4840,Produkte entdecken|Arbeitsschutz|Handschuhe|Mechanische Risiken|BluePoint,BluePoint / Größe: 7,BluePoint,Grobstrickhandschuh mit Vinyl-Noppen,,"• Perfekte Griffsicherheit

• Grobgestrickt für gute Atmungsaktivität 

• Perfekte Flexibilität und sehr gute Feinfühligkeit

• Material: Nylon / Baumwolle","• Verpackungs- und Konfektionierungsarbeiten, Groß- und Einzelhandel, Automobilindustrie, Logistik, trockene Montagearbeiten",,"Perfekte Griffsicherheit

Grobgestrickt für gute Atmungsaktivität 

Perfekte Flexibilität und sehr gute Feinfühligkeit",
4940356,tp.1050103008,"Handschuh BluePoint, Grobstrick weiß Gr. 8, PVC Noppen blau",4840,Produkte entdecken|Arbeitsschutz|Handschuhe|Mechanische Risiken|BluePoint,BluePoint / Größe: 8,BluePoint,Grobstrickhandschuh mit Vinyl-Noppen,,"• Perfekte Griffsicherheit

• Grobgestrickt für gute Atmungsaktivität 

• Perfekte Flexibilität und sehr gute Feinfühligkeit

• Material: Nylon / Baumwolle","• Verpackungs- und Konfektionierungsarbeiten, Groß- und Einzelhandel, Automobilindustrie, Logistik, trockene Montagearbeiten",,"Perfekte Griffsicherheit

Grobgestrickt für gute Atmungsaktivität 

Perfekte Flexibilität und sehr gute Feinfühligkeit",
4940358,tp.1050103009,"Handschuh BluePoint, Grobstrick weiß Gr. 9, PVC Noppen blau",4840,Produkte entdecken|Arbeitsschutz|Handschuhe|Mechanische Risiken|BluePoint,BluePoint / Größe: 9,BluePoint,Grobstrickhandschuh mit Vinyl-Noppen,,"• Perfekte Griffsicherheit

• Grobgestrickt für gute Atmungsaktivität 

• Perfekte Flexibilität und sehr gute Feinfühligkeit

• Material: Nylon / Baumwolle","• Verpackungs- und Konfektionierungsarbeiten, Groß- und Einzelhandel, Automobilindustrie, Logistik, trockene Montagearbeiten",,"Perfekte Griffsicherheit

Grobgestrickt für gute Atmungsaktivität 

Perfekte Flexibilität und sehr gute Feinfühligkeit",
4940360,tp.1050103010,"Handschuh BluePoint, Grobstrick weiß Gr. 10, PVC Noppen blau",4840,Produkte entdecken|Arbeitsschutz|Handschuhe|Mechanische Risiken|BluePoint,BluePoint / Größe: 10,BluePoint,Grobstrickhandschuh mit Vinyl-Noppen,,"• Perfekte Griffsicherheit

• Grobgestrickt für gute Atmungsaktivität 

• Perfekte Flexibilität und sehr gute Feinfühligkeit

• Material: Nylon / Baumwolle","• Verpackungs- und Konfektionierungsarbeiten, Groß- und Einzelhandel, Automobilindustrie, Logistik, trockene Montagearbeiten",,"Perfekte Griffsicherheit

Grobgestrickt für gute Atmungsaktivität 

Perfekte Flexibilität und sehr gute Feinfühligkeit",
4940368,tp.1050802010,"Handschuh WIGMaster Pro,braun Gr. 10 XL, genarbtes Schweinsleder,350mm",4857,Produkte entdecken|Arbeitsschutz|Handschuhe|Schweißerhandschuhe|WIGMaster Pro,WIGMaster Pro / Größe: 10,WIGMaster Pro,Hochwertiger Schweißerhandschuh,,"• Der WIG Meister Professional – Modell für den Profi WIG-Schweißer

• Der Rindspaltlederhandschuh schützt vor normaler Wärme-Einstrahlung bei anspruchsvolleren Schweißarbeiten

• Schützt vor mechanischen Krafteinwirkungen wie z. B. scharfen Bauteilkanten

• Komfortables, feinfühliges Tastverhalten im Handschuh durch feinstes Rindspaltleder

• Eingesetzter Daumen und nahtloser Zeigefinger verleihen dem Handschuh beste Tasteigenschaften beim Führen z. B. des Schweißzusatzes

• Herausragender Tragekomfort durch enganliegendes Rindspaltleder und hochwertige Materialien im Innenteil

• Langlebig durch hochwertigste Materialen und besonders verarbeitete Nähte mit Para-Aramid","• Ausführung B = hohe Fingerfertigkeit, geeignet für WIG-Schweißarbeiten oder für Schweißarbeiten mit geringen Strömen

• WIG-Schweißen, Hartlöten, Schutzgasschweißen, Plasmaschneiden, Heißarbeiten

• Geeignet für Bau, KFZ, BWS/Metall, Agrar für höhere Schweißbeanspruchung",,"Hochwertiges Leder für lange Standzeit 

Leder und Nähte aus Para-Aramid

Höchster Komfort und sehr gute Verarbeitung",
4940372,tp.1050804010,"Handschuh WIGMaster Basic Gr. 10, Nappaleder, 350 mm",4858,Produkte entdecken|Arbeitsschutz|Handschuhe|Schweißerhandschuhe|WIGMaster Basic,WIGMaster Basic / Größe: 10,WIGMaster Basic,Schweißerhandschuh aus ausgesuchtem und geschmeidigem Nappaleder,,"• Flügeldaumen verhindert Druckstellen 

• Hohe Flexibilität 

• Hochwertige Verarbeitung

• Unerreichte Fingerbeweglichkeit durch beste Verarbeitung und Material

• Mit Flügeldaumen und Stulpe aus Rindspaltleder","• Ausführung B = hohe Fingerfertigkeit, geeignet für WIG-Schweißarbeiten oder für Schweißarbeiten mit geringen Strömen

• WIG-Schweißen, Hartlöten, Plasmaschneiden, Heißarbeiten",,"Flügeldaumen verhindert Druckstellen 

Hohe Flexibilität 

Hochwertige Verarbeitung",
4940374,tp.1050804011,"Handschuh WIGMaster Basic Gr. 11, Nappaleder, 350 mm",4858,Produkte entdecken|Arbeitsschutz|Handschuhe|Schweißerhandschuhe|WIGMaster Basic,WIGMaster Basic / Größe: 11,WIGMaster Basic,Schweißerhandschuh aus ausgesuchtem und geschmeidigem Nappaleder,,"• Flügeldaumen verhindert Druckstellen 

• Hohe Flexibilität 

• Hochwertige Verarbeitung

• Unerreichte Fingerbeweglichkeit durch beste Verarbeitung und Material

• Mit Flügeldaumen und Stulpe aus Rindspaltleder","• Ausführung B = hohe Fingerfertigkeit, geeignet für WIG-Schweißarbeiten oder für Schweißarbeiten mit geringen Strömen

• WIG-Schweißen, Hartlöten, Plasmaschneiden, Heißarbeiten",,"Flügeldaumen verhindert Druckstellen 

Hohe Flexibilität 

Hochwertige Verarbeitung",
4940384,tp.1030103,"Gehörschutzspender, TPS400 Universal, 300Soft 1 Spender Inhalt 400 Paar",4900,Produkte entdecken|Arbeitsschutz|Gehörschutz|Gehörschutzspender TPS400 UNIVERSAL,Gehörschutzspender TPS400 UNIVERSAL / 400 Paar,Gehörschutzspender TPS400 UNIVERSAL,Spendergerät für Einmal-Gehörschutzstöpsel,,"Gehörschutzspender TPS400 UNIVERSAL

• Schnell nachfüllbar mittels Quickverschluss

• Mit einer Hand bedienbar

• Mit Auffangschale

• Als Wand- oder Standgerät einsetzbar

• Keine separate Wandhalterung erforderlich



Gehörschutzstöpsel 300 SOFT

• Stöpsel aus hochwertigem, wasserbasiertem PU-Schaumstoff

• Mit den höchsten Dämmwerten seiner Klasse

• Hervorragende Passform

• Perfekter Sitz in jedem Ohr

• An der porenfreien Oberfläche haften keine Schmutzpartikel

• Sehr guter Anpressdruck

• Optimale Spracherkennung","• Werkstätten

• Handwerksbetriebe

• Überall dort, wo Gehörschutz unerlässlich ist

• SNR (dB): 34, H (dB): 33, M (dB): 31, L (dB): 28",,"Schnell nachfüllbar mittels Quickverschluss

Mit einer Hand bedienbar

Als Wand- oder Standgerät einsetzbar - keine separate Wandhalterung erforderlich",
4940386,tp.1030104,"Nachfüllpack für TPS400 Universal, gelb SNR34, 1 Pack Inhalt 400 Paar 300SOFT",10521,Produkte entdecken|Arbeitsschutz|Gehörschutz|Nachfüllpack 300 Soft,Nachfüllpack 300 Soft / 400 Stück (2 Beutel à 200 Paar),Nachfüllpack 300 Soft,Stöpsel für Gehörschutzspender TPS400 UNIVERSAL,,"• Wiederverschließbarer Beutel

• Verpackt in 2 getrennten Innenbeuteln je 200 Paar zur wirtschaftlichen und hygienischen Aufbewahrung

• Zum Auffüllen aller gängigen Spendersysteme

• Stöpsel aus hochwertigem, wasserbasiertem PU-Schaumstoff

• Hervorragende Passform und perfekter Sitz in jedem Ohr

• An der porenfreien Oberfläche haften keine Schmutzpartikel

• Sehr guter Anpressdruck

• Optimale Spracherkennung","• Werkstätten

• Handwerksbetriebe

• Überall dort, wo Gehörschutz unerlässlich ist

• SNR (dB): 34, H (dB): 33, M (dB): 31, L (dB): 28",,"Wiederverschließbarer Beutel

Verpackt in 2 getrennten Innenbeuteln je 200 Paar zur wirtschaftlichen und hygienischen Aufbewahrung

Zum Auffüllen aller gängigen Spendersysteme",
4940388,tp.1030301,"Kapselgehörschutz, PROTEKT Basic, schwarz/rot SNR29",4896,Produkte entdecken|Arbeitsschutz|Gehörschutz|PROTEKT BASIC,PROTEKT BASIC,PROTEKT BASIC,Wiederverwendbare Gehörschutzkapsel,,"• Variable Tragepositionen

• Weiche, einfach zu reinigende Kopfpolster und Dichtkissen

• Einfache Verstellmöglichkeiten der Schutzkapseln

• Stabile Kunststoffbügel

• Sehr vielseitig und leicht

• Weiche Polsterung, auch bei Daueranwendung sehr bequem

• Perfekter Allroundschutz für kurze und lange Anwendungszeiten","• Metallbau, Werkstätten

• Baugewerbe

• Garten- und Landschaftsbau

• SNR (dB): 29",,"Variable Tragepositionen - auch bei Daueranwendung sehr bequem

Weiche, einfach zu reinigende Kopfpolster und Dichtkissen

Einfache Verstellmöglichkeiten der Schutzkapseln",
4940400,tp.1050120008,"Handschuh SecuFeel white Gr. 8, PU-Beschichtung",10515,Produkte entdecken|Arbeitsschutz|Handschuhe|Mechanische Risiken|SecuFeel® white,SecuFeel® white / Größe: 8,SecuFeel® white,Nahtloses Feinstrick mit dünner PU-Beschichtung,,"• Passt sich jeder Hand an und garantiert eine exzellente ergonomische Passform

• Die Top-Werte für die Abriebfestigkeit garantieren eine sehr lange Standzeit

• Hohe Griffsicherheit auch bei nassen, öligen oder fettigen Werkzeugen/Werkstücken

• Der Handschuh-Allrounder 

• Perfekte Flexibilität und Feinfühligkeit durch dünne Beschichtung und Liner

• Silikonfreie Beschichtung daher ideal für Lackierarbeiten","• Arbeiten, die höchste Fingerfertigkeit erfordern

• Umgang mit leicht feuchten oder öligen Materialien

• Feinmechanik, Verpackungsindustrie, Automobilindustrie, Montagearbeiten, Logistik, Handwerk etc.",,"Exzellente ergonomische Passform

Die Top-Werte für die Abriebfestigkeit garantieren sehr lange Standzeit

Hohe Griffsicherheit auch bei nassen/öligen/fettigen Werkzeugen/Werkstücken",
4940402,tp.1050120009,"Handschuh SecuFeel white Gr. 9, PU-Beschichtung",10515,Produkte entdecken|Arbeitsschutz|Handschuhe|Mechanische Risiken|SecuFeel® white,SecuFeel® white / Größe: 9,SecuFeel® white,Nahtloses Feinstrick mit dünner PU-Beschichtung,,"• Passt sich jeder Hand an und garantiert eine exzellente ergonomische Passform

• Die Top-Werte für die Abriebfestigkeit garantieren eine sehr lange Standzeit

• Hohe Griffsicherheit auch bei nassen, öligen oder fettigen Werkzeugen/Werkstücken

• Der Handschuh-Allrounder 

• Perfekte Flexibilität und Feinfühligkeit durch dünne Beschichtung und Liner

• Silikonfreie Beschichtung daher ideal für Lackierarbeiten","• Arbeiten, die höchste Fingerfertigkeit erfordern

• Umgang mit leicht feuchten oder öligen Materialien

• Feinmechanik, Verpackungsindustrie, Automobilindustrie, Montagearbeiten, Logistik, Handwerk etc.",,"Exzellente ergonomische Passform

Die Top-Werte für die Abriebfestigkeit garantieren sehr lange Standzeit

Hohe Griffsicherheit auch bei nassen/öligen/fettigen Werkzeugen/Werkstücken",
4940404,tp.1050120010,"Handschuh SecuFeel white Gr. 10, PU-Beschichtung",10515,Produkte entdecken|Arbeitsschutz|Handschuhe|Mechanische Risiken|SecuFeel® white,SecuFeel® white / Größe: 10,SecuFeel® white,Nahtloses Feinstrick mit dünner PU-Beschichtung,,"• Passt sich jeder Hand an und garantiert eine exzellente ergonomische Passform

• Die Top-Werte für die Abriebfestigkeit garantieren eine sehr lange Standzeit

• Hohe Griffsicherheit auch bei nassen, öligen oder fettigen Werkzeugen/Werkstücken

• Der Handschuh-Allrounder 

• Perfekte Flexibilität und Feinfühligkeit durch dünne Beschichtung und Liner

• Silikonfreie Beschichtung daher ideal für Lackierarbeiten","• Arbeiten, die höchste Fingerfertigkeit erfordern

• Umgang mit leicht feuchten oder öligen Materialien

• Feinmechanik, Verpackungsindustrie, Automobilindustrie, Montagearbeiten, Logistik, Handwerk etc.",,"Exzellente ergonomische Passform

Die Top-Werte für die Abriebfestigkeit garantieren sehr lange Standzeit

Hohe Griffsicherheit auch bei nassen/öligen/fettigen Werkzeugen/Werkstücken",
4940424,tp.1050101009,"Handschuh Niversal Basic, gelb Gr. 9, Nitrilbeschichtung",4830,Produkte entdecken|Arbeitsschutz|Handschuhe|Mechanische Risiken|Niversal® Basic,Niversal® Basic / Größe: 9,Niversal® Basic,Baumwollliner mit Nitril-Beschichtung,,"• Hohe Abriebfestigkeit

• Leicht und flexibel

• Handrücken unbeschichtet für verbesserte Atmungsaktivität

• Flüssigkeitsabweisend","• Landwirtschaft, Garten- und Landschaftsbau

• Bauunternehmen, Werkstätten",,"Hohe Abriebfestigkeit

Leicht und flexibel

Handrücken unbeschichtet für verbesserte Atmungsaktivität",
4940470,tp.1050119010,"Handschuh Truck Gr. 10, Rindspaltleder",4844,Produkte entdecken|Arbeitsschutz|Handschuhe|Mechanische Risiken|Truck,Truck / Größe: 10,Truck,Handschuh aus Rindspaltleder,,"• Gummierte Stulpe

• Gute mechanische Belastbarkeit

• Handrücken und Stulpe aus weißem Segeltuch

• Verstärkungen schützen Handrücken und Handgelenk","• Arbeiten mit sehr rauen Oberflächen

• Baugewerbe, Gartenbau, Agrarberufe, Metallverarbeitung, Holzverarbeitung, Logistik, Handwerk etc.",,"Gummierte Stulpe

Gute mechanische Belastbarkeit

Handrücken und Stulpe aus weißem Segeltuch",
4940508,tp.1050909008,"Handschuh WorkTex V, grau/blau Gr. 8, PROsyn",4821,Produkte entdecken|Arbeitsschutz|Handschuhe|Mechanische Risiken|WorkTex V,WorkTex V / Größe: 8,WorkTex V,ProSyn-Synthetikleder mit Stoffeinsätzen,,"• Das Leder der neuesten Generation steht für optimale Griffigkeit, Ergonomie und konstante Qualität

• Das elastische Gewebe auf dem Handrücken sorgt für gute Belüftung und überdurchschnittlich gute Passform

• Hochwertige Verarbeitung und sehr gute Flexibilität

• Unterseite in weiß für gute Produktkontrolle","• Arbeiten mit kleinen Bauteilen

• Arbeiten mit empfindlichen Werkstücken

• Fuhrpark, Elektrotechnik

• Feinmechanik, KFZ-Werkstatt

• Instandhaltung, Facility Management",,"Leder der neuesten Generation steht für optimale Griffigkeit, Ergonomie &Qualität

Elastisches Gewebe auf dem Handrücken für gute Belüftung

TOP Verarbeitung/Flexibilität/Passform",
4940510,tp.1050909009,"Handschuh WorkTex V, grau/blau Gr. 9, PROsyn",4821,Produkte entdecken|Arbeitsschutz|Handschuhe|Mechanische Risiken|WorkTex V,WorkTex V / Größe: 9,WorkTex V,ProSyn-Synthetikleder mit Stoffeinsätzen,,"• Das Leder der neuesten Generation steht für optimale Griffigkeit, Ergonomie und konstante Qualität

• Das elastische Gewebe auf dem Handrücken sorgt für gute Belüftung und überdurchschnittlich gute Passform

• Hochwertige Verarbeitung und sehr gute Flexibilität

• Unterseite in weiß für gute Produktkontrolle","• Arbeiten mit kleinen Bauteilen

• Arbeiten mit empfindlichen Werkstücken

• Fuhrpark, Elektrotechnik

• Feinmechanik, KFZ-Werkstatt

• Instandhaltung, Facility Management",,"Leder der neuesten Generation steht für optimale Griffigkeit, Ergonomie &Qualität

Elastisches Gewebe auf dem Handrücken für gute Belüftung

TOP Verarbeitung/Flexibilität/Passform",
4940512,tp.1050112010,"Handschuh SecuFeel black Gr. 10, PU-Beschichtung",9010,Produkte entdecken|Arbeitsschutz|Handschuhe|Mechanische Risiken|SecuFeel® black,SecuFeel® black / Größe: 10,SecuFeel® black,In unempfindlichem Schwarz,"• Perfekte Flexibilität und Feinfühligkeit durch dünne PU-Beschichtung und Liner

• Paarweise hygienisch verpackt für eine optimale Lagerhaltung

• Der Handschuh-Allrounder

• Silikonfreie Beschichtung, daher ideal für Lackierarbeiten

• Schwarz, daher überall einsetzbar; auch in schmutzintensiven Bereichen",,"• KFZ-Werkstätten, Handwerk, Industrie, Lackierereien, Montagearbeiten, Logistik, Maschinenbau etc.",,"Perfekte Flexibilität und Feinfühligkeit durch dünne PU-Beschichtung und Liner

Der Handschuh-Allrounder",
4940514,tp.1050909010,"Handschuh WorkTex V, grau/blau Gr. 10, PROsyn",4821,Produkte entdecken|Arbeitsschutz|Handschuhe|Mechanische Risiken|WorkTex V,WorkTex V / Größe: 10,WorkTex V,ProSyn-Synthetikleder mit Stoffeinsätzen,,"• Das Leder der neuesten Generation steht für optimale Griffigkeit, Ergonomie und konstante Qualität

• Das elastische Gewebe auf dem Handrücken sorgt für gute Belüftung und überdurchschnittlich gute Passform

• Hochwertige Verarbeitung und sehr gute Flexibilität

• Unterseite in weiß für gute Produktkontrolle","• Arbeiten mit kleinen Bauteilen

• Arbeiten mit empfindlichen Werkstücken

• Fuhrpark, Elektrotechnik

• Feinmechanik, KFZ-Werkstatt

• Instandhaltung, Facility Management",,"Leder der neuesten Generation steht für optimale Griffigkeit, Ergonomie &Qualität

Elastisches Gewebe auf dem Handrücken für gute Belüftung

TOP Verarbeitung/Flexibilität/Passform",
4940516,tp.1050909011,"Handschuh WorkTex V, grau/blau Gr. 11, PROsyn",4821,Produkte entdecken|Arbeitsschutz|Handschuhe|Mechanische Risiken|WorkTex V,WorkTex V / Größe: 11,WorkTex V,ProSyn-Synthetikleder mit Stoffeinsätzen,,"• Das Leder der neuesten Generation steht für optimale Griffigkeit, Ergonomie und konstante Qualität

• Das elastische Gewebe auf dem Handrücken sorgt für gute Belüftung und überdurchschnittlich gute Passform

• Hochwertige Verarbeitung und sehr gute Flexibilität

• Unterseite in weiß für gute Produktkontrolle","• Arbeiten mit kleinen Bauteilen

• Arbeiten mit empfindlichen Werkstücken

• Fuhrpark, Elektrotechnik

• Feinmechanik, KFZ-Werkstatt

• Instandhaltung, Facility Management",,"Leder der neuesten Generation steht für optimale Griffigkeit, Ergonomie &Qualität

Elastisches Gewebe auf dem Handrücken für gute Belüftung

TOP Verarbeitung/Flexibilität/Passform",
4940518,tp.1050910009,"Handschuh LeatherTex V, blau Gr. 9, Nappaleder",4823,Produkte entdecken|Arbeitsschutz|Handschuhe|Mechanische Risiken|LeatherTex V,LeatherTex V / Größe: 9,LeatherTex V,Nappaleder mit Stoffeinsätzen,,"• Ergonomische Handschuhe mit einer Innenhand aus geschmeidigem Nappaleder

• Elastisches Gewebe auf dem Handrücken für optimale Passform und Flexibilität

• Hohe Griffsicherheit auch bei Fetten und Ölen","• Arbeiten mit feinen Werkstücken

• Umgang mit leicht feuchten oder öligen Materialien

• Feinmechanik, KFZ-Werkstatt

• Instandhaltung, Facility Management

• Handwerksbetriebe",,"Ergonomische Handschuhe mit einer Innenhand aus Nappaleder

Elastisches Gewebe auf dem Handrücken für optimale Passform & Flexibilität

Hohe Griffsicherheit auch bei Fetten und Ölen",
4940520,tp.1050910008,"Handschuh LeatherTex V, blau Gr. 8, Nappaleder",4823,Produkte entdecken|Arbeitsschutz|Handschuhe|Mechanische Risiken|LeatherTex V,LeatherTex V / Größe: 8,LeatherTex V,Nappaleder mit Stoffeinsätzen,,"• Ergonomische Handschuhe mit einer Innenhand aus geschmeidigem Nappaleder

• Elastisches Gewebe auf dem Handrücken für optimale Passform und Flexibilität

• Hohe Griffsicherheit auch bei Fetten und Ölen","• Arbeiten mit feinen Werkstücken

• Umgang mit leicht feuchten oder öligen Materialien

• Feinmechanik, KFZ-Werkstatt

• Instandhaltung, Facility Management

• Handwerksbetriebe",,"Ergonomische Handschuhe mit einer Innenhand aus Nappaleder

Elastisches Gewebe auf dem Handrücken für optimale Passform & Flexibilität

Hohe Griffsicherheit auch bei Fetten und Ölen",
4940522,tp.1050910010,"Handschuh LeatherTex V, blau Gr. 10, Nappaleder",4823,Produkte entdecken|Arbeitsschutz|Handschuhe|Mechanische Risiken|LeatherTex V,LeatherTex V / Größe: 10,LeatherTex V,Nappaleder mit Stoffeinsätzen,,"• Ergonomische Handschuhe mit einer Innenhand aus geschmeidigem Nappaleder

• Elastisches Gewebe auf dem Handrücken für optimale Passform und Flexibilität

• Hohe Griffsicherheit auch bei Fetten und Ölen","• Arbeiten mit feinen Werkstücken

• Umgang mit leicht feuchten oder öligen Materialien

• Feinmechanik, KFZ-Werkstatt

• Instandhaltung, Facility Management

• Handwerksbetriebe",,"Ergonomische Handschuhe mit einer Innenhand aus Nappaleder

Elastisches Gewebe auf dem Handrücken für optimale Passform & Flexibilität

Hohe Griffsicherheit auch bei Fetten und Ölen",
4940530,tp.1050911010,"Handschuh Driver Gr. 10, Rindvollleder",10342,Produkte entdecken|Arbeitsschutz|Handschuhe|Mechanische Risiken|Driver,Driver / Größe: 10,Driver,Handschuh aus Rindvollleder,"• Flügeldaumen verhindert Druckstellen 

• Strapazierfähiges und geschmeidiges Leder mit Wasser-, Fett- und Öl-Abweisung

• Hoher Tragekomfort mit Gummizug im Bund",,"• Umgang mit leicht feuchten und öligen Materialien, Baugewerbe, Handwerk etc.",,"Flügeldaumen verhindert Druckstellen 

Strapazierfähiges und geschmeidiges Leder mit Wasser-, Fett- und Öl-Abweisung

Hoher Tragekomfort mit Gummizug im Bund",
